Asset Class,Asset Strategy,Asset Strategy Detail,Description,Ticker,CUSIP,Quantity,Base CCY,Local CCY,Price,PriceInd,Local Price,Today's Price Change,Price Change %,Pricing Date,Value,Today's Value Change,Value Change %,Local Value,Cost,Unit Cost,Local Unit Cost,Orig Cost (Base),Orig Cost (Local),Cost Source,Local Cost,Unrealized G/L Amt.,Orig. $ Gain/Loss (Base),Orig. $ Gain/Loss (Local),Local Unrealized G/L Amt.,Unrealized Gain/Loss (%),Orig. % Gain/Loss (Base),Orig. % Gain/Loss (Local),Local Unrealized Gain/Loss (%),Disallowed Loss (Base),Disallowed Loss (Local),Acquisition Date,Adj Date,Accrued/Income Earned,Local Accrued/Income Earned,Accrued Income,Local Accrued Income,Est. Annual Income,Local Est. Annual Income,YTM,Maturity Date,Coupon Rate,S&P Rating,Moody Rating,Buy/Call Amount,Buy/Call Currency,Sell/Put Amount,Sell/Put Currency,Market Spot Rate,Market Forward Rate,Contract Rate,Subscription Amount,Net Distributions,Used/Outstanding,Interest Rate,Finance Charges (MTD),As of,Acct Type,Accounting Method,Current Face Value,Disclaimers-Cost,Disclaimers-Quantity,Dividend Yield,Amount invested,7-day average yield,ISIN
"Fixed Income & Cash","Cash & Short Term","","CHASE DEPOSIT SWEEP JPMORGAN CHASE BANK NA","QACDS","","5,433.52","USD","","1","false","","0","0","04/30/2026 11:59:59","5,433.52","0","0","","5,433.52","1","","5,433.49","","","","0","0","","","0","0","","","","","","","","","0","","","","0","","0","","","0","","0","","1","0","0","5,433.52","0","5,433.52","0","","05/01/2026","Cash","Original Cost","0","","","0","","",""
"Equity","US Large Cap Equity","","MICROSOFT CORP","MSFT","594918104","12","USD","","414.44","false","","6.66","1.63","05/01/2026 04:20:10","4,973.28","79.92","1.63","","4,603.54","383.63","","4,603.54","","","","369.74","369.74","","","8.03","8.03","","","","","","","27.09","","0","","43.68","","0","","0","","","0","","0","","1","0","0","12","0","4,973.28","0","","05/01/2026","Cash","Original Cost","0","","","0","","","US5949181045"
"Equity","US Large Cap Equity","","META PLATFORMS INC CLASS A COMMON STOCK","META","30303M102","5","USD","","608.745","false","","-3.17","-0.52","05/01/2026 04:20:10","3,043.73","-15.83","-0.52","","3,205.63","641.13","","3,059.63","","","","-161.9","-15.9","","","-5.05","-0.52","","","0","","","","3.16","","0","","10.5","","0","","0","","","0","","0","","1","0","0","5","0","3,043.73","0","","05/01/2026","Cash","Original Cost","0","W","","0","","","US30303M1027"
"Equity","US Large Cap Equity","","S&P GLOBAL INC COM","SPGI","78409V104","7","USD","","426.06","false","","-5.17","-1.2","05/01/2026 04:20:11","2,982.42","-36.19","-1.2","","3,233.89","461.98","","3,233.89","","","","-251.47","-251.47","","","-7.78","-7.78","","","","","","","9.65","","0","","27.16","","0","","0","","","0","","0","","1","0","0","7","0","2,982.42","0","","05/01/2026","Cash","Original Cost","0","","","0","","","US78409V1044"
"Equity","US Large Cap Equity","","ADOBE INC COMMON STOCK","ADBE","00724F101","10","USD","","250.71","false","","4.61","1.87","05/01/2026 04:20:10","2,507.1","46.1","1.87","","2,479.7","247.97","","2,479.7","","","","27.4","27.4","","","1.1","1.1","","","","","","","","","0","","","","0","","0","","","0","","0","","1","0","0","10","0","2,507.1","0","","05/01/2026","Cash","Original Cost","0","","","0","","","US00724F1012"
"Equity","US Large Cap Equity","","DOW INC COMMON STOCK","DOW","260557103","45","USD","","40.29","false","","-0.2","-0.49","05/01/2026 04:20:11","1,813.05","-9","-0.49","","1,029.65","22.88","","1,029.65","","","","783.4","783.4","","","76.08","76.08","","","","","","","33.95","","0","","63","","0","","0","","","0","","0","","1","0","0","45","0","1,813.05","0","","05/01/2026","Cash","Original Cost","0","","","0","","","US2605571031"
"Equity","US Large Cap Equity","","NETFLIX INC COM","NFLX","64110L106","14","USD","","92.06","false","","-1.55","-1.66","05/01/2026 04:20:10","1,288.84","-21.7","-1.66","","1,265.74","90.41","","1,265.74","","","","23.1","23.1","","","1.82","1.82","","","","","","","","","0","","","","0","","0","","","0","","0","","1","0","0","14","0","1,288.84","0","","05/01/2026","Cash","Original Cost","0","","","0","","","US64110L1061"
"Equity","US Large Cap Equity","","WALT DISNEY CO","DIS","254687106","12","USD","","103.08","false","","-0.67","-0.65","05/01/2026 04:20:11","1,236.96","-8.04","-0.65","","1,078.5","89.88","","1,078.5","","","","158.46","158.46","","","14.69","14.69","","","","","","","21","","0","","18","","0","","0","","","0","","0","","1","0","0","12","0","1,236.96","0","","05/01/2026","Cash","Original Cost","0","","","0","","","US2546871060"
"Equity","US Large Cap Equity","","MASTERCARD INCORPORATED","MA","57636Q104","2","USD","","495.46","false","","-7.46","-1.48","05/01/2026 04:20:11","990.92","-14.92","-1.48","","1,061.2","530.6","","1,061.2","","","","-70.28","-70.28","","","-6.62","-6.62","","","","","","","","","0","","6.96","","0","","0","","","0","","0","","1","0","0","2","0","990.92","0","","05/01/2026","Cash","Original Cost","0","","","0","","","US57636Q1040"
"Equity","US Large Cap Equity","","CONSTELLATION ENERGY CORPORATION COMMON STOCK","CEG","21037T109","3","USD","","307.81","false","","-5.19","-1.66","05/01/2026 04:20:10","923.43","-15.57","-1.66","","823.77","274.59","","823.77","","","","99.66","99.66","","","12.1","12.1","","","","","","","1.28","","0","","5.12","","0","","0","","","0","","0","","1","0","0","3","0","923.43","0","","05/01/2026","Cash","Original Cost","0","","","0","","","US21037T1097"
